date,total_staff,total_patients,patient_to_staff_ratio
2026-01-04,246.0,886.0,3.6
2026-01-05,246.0,897.0,3.65
2026-01-06,258.0,880.0,3.41
2026-01-07,251.0,889.0,3.54
2026-01-08,250.0,903.0,3.61
2026-01-09,247.0,938.0,3.8
2026-01-10,254.0,823.0,3.24
2026-01-11,245.0,860.0,3.51
2026-01-12,242.0,908.0,3.75
2026-01-13,255.0,836.0,3.28
2026-01-14,253.0,901.0,3.56
2026-01-15,248.0,872.0,3.52
2026-01-16,253.0,905.0,3.58
2026-01-17,253.0,915.0,3.62
2026-01-18,252.0,911.0,3.62
2026-01-19,250.0,923.0,3.69
2026-01-20,239.0,908.0,3.8
2026-01-21,254.0,955.0,3.76
2026-01-22,231.0,888.0,3.84
2026-01-23,250.0,896.0,3.58
2026-01-24,258.0,927.0,3.59
2026-01-25,237.0,922.0,3.89
2026-01-26,253.0,903.0,3.57
2026-01-27,258.0,918.0,3.56
2026-01-28,252.0,894.0,3.55
2026-01-29,244.0,889.0,3.64
2026-01-30,229.0,859.0,3.75
2026-01-31,239.0,934.0,3.91
2026-02-01,235.0,936.0,3.98
2026-02-02,241.0,901.0,3.74
2026-02-03,245.0,999.0,4.08
2026-02-04,242.0,922.0,3.81
2026-02-05,239.0,933.0,3.9
2026-02-06,257.0,888.0,3.46
2026-02-07,239.0,904.0,3.78
2026-02-08,240.0,892.0,3.72
2026-02-09,225.0,927.0,4.12
2026-02-10,246.0,976.0,3.97
2026-02-11,250.0,937.0,3.75
2026-02-12,247.0,924.0,3.74
2026-02-13,237.0,896.0,3.78
2026-02-14,240.0,958.0,3.99
2026-02-15,240.0,930.0,3.88
2026-02-16,250.0,959.0,3.84
2026-02-17,246.0,915.0,3.72
2026-02-18,261.0,972.0,3.72
2026-02-19,251.0,937.0,3.73
2026-02-20,253.0,937.0,3.7
2026-02-21,247.0,910.0,3.68
2026-02-22,246.0,963.0,3.91
2026-02-23,245.0,932.0,3.8
2026-02-24,253.0,933.0,3.69
2026-02-25,250.0,931.0,3.72
2026-02-26,244.0,894.0,3.66
2026-02-27,255.0,963.0,3.78
2026-02-28,256.0,986.0,3.85
2026-03-01,245.0,951.0,3.88
2026-03-02,234.0,934.0,3.99
2026-03-03,227.0,943.0,4.15
2026-03-04,233.0,935.0,4.01
2026-03-05,243.0,925.0,3.81
2026-03-06,261.0,903.0,3.46
2026-03-07,250.0,939.0,3.76
2026-03-08,253.0,929.0,3.67
2026-03-09,240.0,964.0,4.02
2026-03-10,241.0,983.0,4.08
2026-03-11,242.0,903.0,3.73
2026-03-12,233.0,960.0,4.12
2026-03-13,241.0,887.0,3.68
2026-03-14,236.0,977.0,4.14
2026-03-15,223.0,969.0,4.35
2026-03-16,248.0,973.0,3.92
2026-03-17,241.0,963.0,4.0
2026-03-18,247.0,931.0,3.77
2026-03-19,239.0,980.0,4.1
2026-03-20,256.0,882.0,3.45
2026-03-21,245.0,875.0,3.57
2026-03-22,242.0,974.0,4.02
2026-03-23,254.0,1021.0,4.02
2026-03-24,247.0,912.0,3.69
2026-03-25,227.0,964.0,4.25
2026-03-26,253.0,968.0,3.83
2026-03-27,246.0,932.0,3.79
2026-03-28,235.0,915.0,3.89
2026-03-29,232.0,963.0,4.15
2026-03-30,238.0,938.0,3.94
2026-03-31,240.0,993.0,4.14
2026-04-01,230.0,941.0,4.09
2026-04-02,241.0,924.0,3.83
2026-04-03,235.0,984.0,4.19
2026-04-04,245.0,959.0,3.91
2026-04-05,242.0,959.0,3.96
2026-04-06,258.0,964.0,3.74
2026-04-07,251.0,964.0,3.84
2026-04-08,259.0,902.0,3.48
2026-04-09,243.0,940.0,3.87
2026-04-10,251.0,925.0,3.69
2026-04-11,246.0,1011.0,4.11
2026-04-12,248.0,853.0,3.44
2026-04-13,250.0,947.0,3.79
2026-04-14,243.0,977.0,4.02
2026-04-15,239.0,918.0,3.84
2026-04-16,224.0,945.0,4.22
2026-04-17,252.0,982.0,3.9
2026-04-18,248.0,976.0,3.94
2026-04-19,265.0,910.0,3.43
2026-04-20,239.0,863.0,3.61
2026-04-21,254.0,938.0,3.69
2026-04-22,244.0,962.0,3.94
2026-04-23,236.0,976.0,4.14
2026-04-24,262.0,934.0,3.56
2026-04-25,244.0,976.0,4.0
2026-04-26,246.0,937.0,3.81
2026-04-27,243.0,1011.0,4.16
2026-04-28,234.0,943.0,4.03
2026-04-29,247.0,937.0,3.79
2026-04-30,253.0,902.0,3.57
2026-05-01,225.0,892.0,3.96
2026-05-02,247.0,889.0,3.6
2026-05-03,258.0,942.0,3.65
2026-05-04,240.0,949.0,3.95
2026-05-05,246.0,953.0,3.87
2026-05-06,257.0,970.0,3.77
2026-05-07,271.0,970.0,3.58
2026-05-08,238.0,927.0,3.89
2026-05-09,243.0,915.0,3.77
2026-05-10,253.0,921.0,3.64
2026-05-11,248.0,963.0,3.88
2026-05-12,246.0,914.0,3.72
2026-05-13,242.0,962.0,3.98
2026-05-14,248.0,887.0,3.58
2026-05-15,242.0,898.0,3.71
2026-05-16,251.0,923.0,3.68
2026-05-17,244.0,977.0,4.0
2026-05-18,236.0,901.0,3.82
2026-05-19,245.0,943.0,3.85
2026-05-20,240.0,898.0,3.74
2026-05-21,252.0,883.0,3.5
2026-05-22,230.0,908.0,3.95
2026-05-23,251.0,902.0,3.59
2026-05-24,252.0,910.0,3.61
2026-05-25,238.0,922.0,3.87
2026-05-26,254.0,916.0,3.61
2026-05-27,245.0,946.0,3.86
2026-05-28,241.0,970.0,4.02
2026-05-29,241.0,933.0,3.87
2026-05-30,243.0,908.0,3.74
2026-05-31,249.0,917.0,3.68
2026-06-01,231.0,881.0,3.81
2026-06-02,247.0,931.0,3.77
2026-06-03,250.0,898.0,3.59
2026-06-04,266.0,891.0,3.35
2026-06-05,247.0,879.0,3.56
2026-06-06,239.0,945.0,3.95
2026-06-07,249.0,888.0,3.57
2026-06-08,231.0,919.0,3.98
2026-06-09,249.0,877.0,3.52
2026-06-10,241.0,941.0,3.9
2026-06-11,242.0,975.0,4.03
2026-06-12,233.0,949.0,4.07
2026-06-13,236.0,904.0,3.83
2026-06-14,251.0,842.0,3.35
2026-06-15,246.0,958.0,3.89
2026-06-16,249.0,956.0,3.84
2026-06-17,254.0,879.0,3.46
2026-06-18,243.0,876.0,3.6
2026-06-19,249.0,884.0,3.55
2026-06-20,243.0,898.0,3.7
2026-06-21,270.0,854.0,3.16
2026-06-22,224.0,869.0,3.88
2026-06-23,252.0,879.0,3.49
2026-06-24,242.0,887.0,3.67
2026-06-25,246.0,898.0,3.65
2026-06-26,248.0,881.0,3.55
2026-06-27,251.0,967.0,3.85
2026-06-28,237.0,895.0,3.78
2026-06-29,226.0,917.0,4.06
2026-06-30,236.0,846.0,3.58
